"incident_id","machine_id","machine_type","location","incident_datetime","incident_type","failure_code","failure_description","sensor_id","sensor_type","sensor_value","maintenance_type","maintenance_action","downtime_minutes","reported_by","resolved_datetime","resolution_status","cost_estimate","root_cause"
"INCID013","MC-1004D","Assembly Robot Z330","Plant C - South Gate","2024-05-13T11:22:15","maintenance_event","","Predictive maintenance scheduled for gripper mechanism.","","","","predictive","Calibrated gripper sensors and replaced worn pads.","40","sys_auto_03","2024-05-13T12:02:15","resolved","930","Sensor data indicated declining grip force."
"INCID014","MC-1005E","Laser Cutter Pro-7","Plant D - Central Lane","2024-05-14T13:48:09","machine_failure","F159","Optical alignment error caused miscut.","","","","","","30","tech_susan","2024-05-14T14:20:09","resolved","650","Mirror shifted due to accidental bump."
"INCID015","MC-1003C","Packaging Line V2","Plant A - West Bay","2024-05-15T08:17:05","sensor_anomaly","S249","Humidity sensor detected abnormal moisture.","SNSR-78256","HumiditySensor","78.2","","","25","sys_auto_02","2024-05-15T08:42:15","resolved","310","Condensation due to HVAC malfunction."
"INCID016","MC-1006F","Injection Molder S100","Plant E - South Dock","2024-05-16T17:33:30","maintenance_event","","Scheduled preventive maintenance performed.","","","","preventive","Inspected and cleaned injection nozzle.","35","tech_amanda","2024-05-16T18:08:45","resolved","600","Routine maintenance per schedule."
"INCID017","MC-1007G","Drill Press Q500","Plant F - East Annex","2024-05-17T09:41:17","machine_failure","F172","Feed mechanism jammed during operation.","","","","","","60","tech_joseph","2024-05-17T10:41:17","resolved","890","Debris accumulation in feed track."
"INCID018","MC-1004D","Assembly Robot Z330","Plant C - South Gate","2024-05-18T14:13:54","sensor_anomaly","S267","Infrared sensor reported misalignment.","SNSR-89475","IRSensor","0.02","","","12","sys_auto_03","2024-05-18T14:25:18","resolved","175","Sensor bracket loosened by vibration."
"INCID019","MC-1005E","Laser Cutter Pro-7","Plant D - Central Lane","2024-05-19T15:20:33","maintenance_event","","Corrective maintenance performed after error.","","","","corrective","Realigned mirrors and checked cooling system.","90","tech_susan","2024-05-19T16:50:33","resolved","1200","Alignment error resolved by maintenance."
"INCID020","MC-1008H","Press Brake PB-240","Plant G - North Dock","2024-05-20T17:55:41","machine_failure","F180","Hydraulic pump pressure drop detected.","","","","","","110","tech_amanda","2024-05-20T19:45:11","resolved","2700","Pump gasket failed, replaced."
"INCID021","MC-1001A","CNC Lathe Model X","Plant A - East Bay","2024-05-21T08:29:30","sensor_anomaly","S279","Current sensor detected overload.","SNSR-91203","CurrentSensor","18.7","","","15","sys_auto_02","2024-05-21T08:44:30","resolved","260","Overload due to jammed workpiece."
"INCID022","MC-1002B","Robotic Arm RX-45","Plant B - North Wing","2024-05-22T10:05:41","maintenance_event","","Preventive maintenance scheduled.","","","","preventive","Lubricated joint bearings and inspected wiring.","50","tech_joseph","2024-05-22T10:55:41","resolved","700","Routine check per maintenance calendar."
"INCID023","MC-1006F","Injection Molder S100","Plant E - South Dock","2024-05-23T13:40:17","machine_failure","F193","Ejector pin jammed during cycle.","","","","","","80","tech_susan","2024-05-23T15:00:17","resolved","1200","Pin bent from excessive force, replaced."
"INCID024","MC-1007G","Drill Press Q500","Plant F - East Annex","2024-05-24T09:15:33","sensor_anomaly","S299","Torque sensor reported underload condition.","SNSR-79341","TorqueSensor","2.1","","","18","sys_auto_01","2024-05-24T09:33:33","resolved","190","Loose chuck resulted in poor torque."
"INCID025","MC-1008H","Press Brake PB-240","Plant G - North Dock","2024-05-25T12:40:22","maintenance_event","","Corrective maintenance on hydraulic lines.","","","","corrective","Replaced worn hydraulic hoses and tested pressure.","80","tech_amanda","2024-05-25T14:00:22","resolved","1850","Hydraulic leaks detected during operation."
"INCID026","MC-1003C","Packaging Line V2","Plant A - West Bay","2024-05-26T13:10:46","machine_failure","F205","Conveyor motor stalled unexpectedly.","","","","","","55","tech_joseph","2024-05-26T14:05:46","resolved","750","Motor overload due to packaging jam."
"INCID027","MC-1004D","Assembly Robot Z330","Plant C - South Gate","2024-05-27T10:47:14","sensor_anomaly","S312","Proximity sensor failed to detect object.","SNSR-87106","ProxSensor","0","","","8","sys_auto_03","2024-05-27T10:55:14","resolved","110","Sensor lens contaminated by dust."
"INCID028","MC-1005E","Laser Cutter Pro-7","Plant D - Central Lane","2024-05-28T15:30:00","maintenance_event","","Preventive maintenance performed on cooling system.","","","","preventive","Flushed coolant lines and replaced filter.","50","sys_auto_01","2024-05-28T16:20:00","resolved","530","Routine schedule for coolant system."
"INCID029","MC-1006F","Injection Molder S100","Plant E - South Dock","2024-05-29T09:22:39","machine_failure","F218","Hopper sensor reported empty during run.","","","","","","25","tech_susan","2024-05-29T09:47:39","resolved","340","Material supply interrupted mid-cycle."
"INCID030","MC-1007G","Drill Press Q500","Plant F - East Annex","2024-05-30T08:36:13","sensor_anomaly","S327","Sound sensor detected excessive noise.","SNSR-81234","SoundSensor","89.5","","","20","sys_auto_02","2024-05-30T08:56:13","resolved","220","Loose mounting caused vibration noise."
"INCID031","MC-1008H","Press Brake PB-240","Plant G - North Dock","2024-06-01T12:00:01","maintenance_event","","Predictive maintenance on ram assembly.","","","","predictive","Checked ram alignment and replaced sensor.","25","tech_amanda","2024-06-01T12:25:01","resolved","1450","Sensor predicted wear in ram assembly."
"INCID032","MC-1003C","Packaging Line V2","Plant A - West Bay","2024-06-02T13:59:40","machine_failure","F229","PLC error halted packaging process.","","","","","","100","tech_joseph","2024-06-02T15:39:40","resolved","1800","Faulty relay in PLC module replaced."
"INCID033","MC-1004D","Assembly Robot Z330","Plant C - South Gate","2024-06-03T09:06:27","sensor_anomaly","S341","Position sensor failed test cycle.","SNSR-87737","PositionSensor","0","","","14","sys_auto_03","2024-06-03T09:20:27","resolved","140","Connector loose on sensor board."
"INCID034","MC-1005E","Laser Cutter Pro-7","Plant D - Central Lane","2024-06-04T15:50:00","maintenance_event","","Scheduled replacement of coolant filter.","","","","preventive","Replaced filter and flushed coolant tank.","30","sys_auto_01","2024-06-04T16:20:00","resolved","400","Routine schedule for coolant system."
"INCID035","MC-1006F","Injection Molder S100","Plant E - South Dock","2024-06-05T11:48:11","machine_failure","F243","Clamp sensor detected incomplete closure.","","","","","","45","tech_susan","2024-06-05T12:33:11","resolved","650","Clamp misaligned, reset performed."
"INCID036","MC-1007G","Drill Press Q500","Plant F - East Annex","2024-06-06T10:00:00","sensor_anomaly","S356","Speed sensor reported erratic readings.","SNSR-83456","SpeedSensor","0","","","16","sys_auto_02","2024-06-06T10:16:00","resolved","175","Sensor cable damaged, replaced."
"INCID037","MC-1008H","Press Brake PB-240","Plant G - North Dock","2024-06-07T14:20:10","maintenance_event","","Corrective maintenance after leak detected.","","","","corrective","Replaced hydraulic seals and tested pressure.","70","tech_amanda","2024-06-07T15:30:10","resolved","1650","Seal failure detected by pressure drop."
"INCID038","MC-1003C","Packaging Line V2","Plant A - West Bay","2024-06-08T11:25:16","machine_failure","F257","Belt speed reduced below minimum threshold.","","","","","","35","tech_joseph","2024-06-08T12:00:16","resolved","510","Belt slippage due to worn rollers."
"INCID039","MC-1004D","Assembly Robot Z330","Plant C - South Gate","2024-06-09T09:30:27","sensor_anomaly","S373","Load sensor reported overload condition.","SNSR-88855","LoadSensor","550","","","22","sys_auto_03","2024-06-09T09:52:27","resolved","250","Operator misloaded heavy part."
"INCID040","MC-1005E","Laser Cutter Pro-7","Plant D - Central Lane","2024-06-10T14:45:00","maintenance_event","","Scheduled predictive maintenance on optics.","","","","predictive","Checked beam path and replaced focusing lens.","40","sys_auto_01","2024-06-10T15:25:00","resolved","1300","Lens wear detected in predictive scan."
"INCID041","MC-1006F","Injection Molder S100","Plant E - South Dock","2024-06-11T09:34:29","machine_failure","F265","Mold temperature sensor failed during run.","","","","","","15","tech_susan","2024-06-11T09:49:29","resolved","210","Sensor cable disconnected from controller."
"INCID042","MC-1007G","Drill Press Q500","Plant F - East Annex","2024-06-12T08:10:00","sensor_anomaly","S388","Temperature sensor reported overheat.","SNSR-87001","TempSensor","121.2","","","17","sys_auto_02","2024-06-12T08:27:00","resolved","240","Insufficient coolant flow to spindle."
"INCID043","MC-1008H","Press Brake PB-240","Plant G - North Dock","2024-06-13T12:30:11","maintenance_event","","Scheduled preventive maintenance on control system.","","","","preventive","Cleaned control panel and updated firmware.","20","tech_amanda","2024-06-13T12:50:11","resolved","350","Routine control system maintenance."
"INCID044","MC-1003C","Packaging Line V2","Plant A - West Bay","2024-06-14T14:10:24","machine_failure","F278","Drive belt snapped during high-speed run.","","","","","","80","tech_joseph","2024-06-14T15:30:24","resolved","940","Belt reached end of service life."
"INCID045","MC-1004D","Assembly Robot Z330","Plant C - South Gate","2024-06-15T10:17:38","sensor_anomaly","S403","Pressure sensor below operating range.","SNSR-90541","PressureSensor","0.5","","","13","sys_auto_03","2024-06-15T10:30:38","resolved","160","Hydraulic line partially blocked."
"INCID046","MC-1005E","Laser Cutter Pro-7","Plant D - Central Lane","2024-06-16T13:55:00","maintenance_event","","Predictive maintenance triggered by beam sensor.","","","","predictive","Recalibrated beam path and cleaned optics.","30","sys_auto_01","2024-06-16T14:25:00","resolved","980","Sensor predicted misalignment risk."
"INCID047","MC-1006F","Injection Molder S100","Plant E - South Dock","2024-06-17T09:30:11","machine_failure","F291","Injection pressure dropped below spec.","","","","","","38","tech_susan","2024-06-17T10:08:11","resolved","480","Pressure relief valve stuck open."
"INCID048","MC-1007G","Drill Press Q500","Plant F - East Annex","2024-06-18T08:40:00","sensor_anomaly","S418","Torque sensor over maximum reading.","SNSR-81442","TorqueSensor","12.3","","","14","sys_auto_02","2024-06-18T08:54:00","resolved","210","Stuck workpiece caused high torque."
"INCID049","MC-1008H","Press Brake PB-240","Plant G - North Dock","2024-06-19T11:22:44","maintenance_event","","Scheduled preventive maintenance on hydraulic pump.","","","","preventive","Changed hydraulic fluid and replaced filter.","35","tech_amanda","2024-06-19T11:57:44","resolved","650","Routine maintenance per schedule."
"INCID050","MC-1003C","Packaging Line V2","Plant A - West Bay","2024-06-20T14:50:17","machine_failure","F304","Control panel unresponsive during run.","","","","","","65","tech_joseph","2024-06-20T15:55:17","closed","1050","Panel power supply failed, replaced."
"INC-5102A7F","MAC-10B4C8D2","CNC Lathe Model X21","Plant South Bay","2024-04-02T08:12:15","machine_failure","F102","Unexpected spindle stall detected during production cycle.","","","","","","90","jclark","2024-04-02T09:45:07","resolved","3100.5","Spindle lubrication system failure."
"INC-8B3C1E9F","MAC-22D9A7E3","Robotic Arm RX-700","Plant South Bay","2024-04-02T10:27:43","sensor_anomaly","S210","Temperature sensor reported spike above threshold.","SNS-00012845","TempSensor","82.4","","","15","system_alert","2024-04-02T10:48:02","closed","180","Short-term environmental fluctuation."
"INC-14C7F8A2","MAC-29F3E0B7","Hydraulic Press HP-350","Plant Eastfield","2024-04-03T11:05:34","maintenance_event","","","","","","preventive","Replaced hydraulic fluid and checked seals.","120","mgarcia","2024-04-03T13:10:12","resolved","540.8","Scheduled preventive maintenance."
"INC-6F1B2D4E","MAC-10B4C8D2","CNC Lathe Model X21","Plant South Bay","2024-04-04T08:33:09","machine_failure","F143","Servo motor overload error during axis movement.","","","","","","45","cwright","2024-04-04T09:18:52","resolved","2150","Axis lubrication insufficient."
"INC-7D4A9F2C","MAC-64E1B2F8","Automated Welder ZX-55","Plant Eastfield","2024-04-05T15:42:21","sensor_anomaly","S330","Vibration sensor reported oscillation above safety limits.","SNS-00032984","VibroSensor","0.98","","","10","system_alert","2024-04-05T15:56:36","closed","75","Transient mechanical shock event."
"INC-9C2D5B1E","MAC-22D9A7E3","Robotic Arm RX-700","Plant South Bay","2024-04-06T09:21:00","maintenance_event","","","","","","predictive","Adjusted arm joints based on predictive analytics.","33","jbrown","2024-04-06T09:54:10","resolved","250","Wear detected via predictive model."
"INC-51C8E3B7","MAC-10B4C8D2","CNC Lathe Model X21","Plant South Bay","2024-04-07T14:10:23","machine_failure","F121","Coolant flow disruption detected in spindle.","","","","","","50","system_alert","2024-04-07T15:00:05","resolved","900","Partial clog in coolant line."
"INC-8F12A6B3","MAC-64E1B2F8","Automated Welder ZX-55","Plant Eastfield","2024-04-08T13:29:59","sensor_anomaly","S316","Current sensor anomaly detected while welding.","SNS-00026734","CurrentSensor","5.67","","","8","system_alert","2024-04-08T13:38:10","closed","120","Electrode misalignment."
"INC-2E7C3B1A","MAC-29F3E0B7","Hydraulic Press HP-350","Plant Eastfield","2024-04-09T07:14:42","maintenance_event","","","","","","corrective","Replaced worn pressure valve.","48","mgarcia","2024-04-09T08:08:20","resolved","870","Pressure valve fatigue failure."
"INC-6B4E2D7C","MAC-22D9A7E3","Robotic Arm RX-700","Plant South Bay","2024-04-10T16:22:58","machine_failure","F108","Joint angle sensor failure during automated cycle.","","","","","","37","cwright","2024-04-10T16:59:41","resolved","450","Sensor wire corrosion."
"INC-8A2C5B7D","MAC-10B4C8D2","CNC Lathe Model X21","Plant South Bay","2024-04-11T08:54:18","sensor_anomaly","S252","Pressure sensor reading dropped below minimum.","SNS-00018375","PressureSensor","0.31","","","7","system_alert","2024-04-11T09:01:55","closed","54","Minor leak in pressure line."
"INC-5C1B2E7A","MAC-29F3E0B7","Hydraulic Press HP-350","Plant Eastfield","2024-04-12T12:33:44","maintenance_event","","","","","","preventive","Checked and replaced worn seals.","38","jbrown","2024-04-12T13:11:15","resolved","220","Routine scheduled check."
"INC-7E4D1B2F","MAC-64E1B2F8","Automated Welder ZX-55","Plant Eastfield","2024-04-13T17:18:36","machine_failure","F136","Power supply voltage drop below minimum threshold.","","","","","","19","jclark","2024-04-13T17:38:11","resolved","325","Power supply cable fatigue."
"INC-1C7F8A2E","MAC-22D9A7E3","Robotic Arm RX-700","Plant South Bay","2024-04-14T15:09:52","sensor_anomaly","S217","Humidity sensor exceeded calibration range.","SNS-00022194","HumiditySensor","57.6","","","5","system_alert","2024-04-14T15:14:08","closed","31","Ambient humidity spike."
"INC-4B2D7C6F","MAC-29F3E0B7","Hydraulic Press HP-350","Plant Eastfield","2024-04-15T07:55:30","maintenance_event","","","","","","corrective","Adjusted piston alignment and replaced retaining bolts.","95","cwright","2024-04-15T09:30:05","resolved","1150","Misaligned piston detected during operation."
"INC-3A8D1B5C","MAC-64E1B2F8","Automated Welder ZX-55","Plant Eastfield","2024-04-16T09:03:17","machine_failure","F142","Welding tip overheating event.","","","","","","22","jbrown","2024-04-16T09:25:23","resolved","385","Insufficient cooling."
"INC-1B6C8F3A","MAC-10B4C8D2","CNC Lathe Model X21","Plant South Bay","2024-04-17T11:38:51","sensor_anomaly","S208","Oil pressure sensor reported abnormally high reading.","SNS-00010234","OilPressureSensor","128.6","","","12","system_alert","2024-04-17T11:50:03","closed","99","Overfilled oil reservoir."
"INC-7E2B4D1F","MAC-29F3E0B7","Hydraulic Press HP-350","Plant Eastfield","2024-04-18T13:17:08","maintenance_event","","","","","","preventive","Lubricated moving parts and checked for leaks.","28","mgarcia","2024-04-18T13:45:02","resolved","130","Preventive lubrication cycle."
"INC-6D2C5A7E","MAC-64E1B2F8","Automated Welder ZX-55","Plant Eastfield","2024-04-19T16:29:13","machine_failure","F124","Wire feed error detected during automated weld.","","","","","","16","jclark","2024-04-19T16:45:45","resolved","290","Wire jam in feed mechanism."
"INC-3F4A9B2C","MAC-22D9A7E3","Robotic Arm RX-700","Plant South Bay","2024-04-20T08:44:37","sensor_anomaly","S215","Force sensor reported non-linear output.","SNS-00051762","ForceSensor","13.07","","","14","system_alert","2024-04-20T08:58:21","closed","110","Sensor aged out of spec."
"INC-9B5C8A3F","MAC-10B4C8D2","CNC Lathe Model X21","Plant South Bay","2024-04-21T14:21:19","maintenance_event","","","","","","predictive","Recalibrated spindle drive based on predictive wear.","55","jbrown","2024-04-21T15:16:06","resolved","430","Wear detected in drive bearings."
"INC-2F8C1B7A","MAC-29F3E0B7","Hydraulic Press HP-350","Plant Eastfield","2024-04-22T11:39:28","machine_failure","F110","Pressure drop detected during press cycle.","","","","","","31","cwright","2024-04-22T12:10:33","resolved","600","Seal failure in pressure system."
"INC-7B3D2C6F","MAC-64E1B2F8","Automated Welder ZX-55","Plant Eastfield","2024-04-23T17:25:39","sensor_anomaly","S358","Gas flow sensor detected erratic readings.","SNS-00063110","GasFlowSensor","3.64","","","6","system_alert","2024-04-23T17:34:11","closed","41","Temporary gas pressure fluctuation."
"INC-8C2E5A7B","MAC-22D9A7E3","Robotic Arm RX-700","Plant South Bay","2024-04-24T09:32:48","maintenance_event","","","","","","corrective","Replaced worn-out servo motor.","81","mgarcia","2024-04-24T10:53:22","resolved","1860","Servo motor fatigue detected."
"INC-5D1B8C3A","MAC-10B4C8D2","CNC Lathe Model X21","Plant South Bay","2024-04-25T12:18:31","machine_failure","F134","Tool changer malfunctioned during operation.","","","","","","44","jclark","2024-04-25T13:02:22","resolved","675","Tool sensor miscalibration."
"INC-9E2D3B7C","MAC-64E1B2F8","Automated Welder ZX-55","Plant Eastfield","2024-04-26T15:40:18","sensor_anomaly","S341","Laser alignment sensor reported deviation.","SNS-00075233","LaserSensor","0.02","","","3","system_alert","2024-04-26T15:43:39","closed","23","Laser mount vibration."
"INC-2A5C8B3E","MAC-22D9A7E3","Robotic Arm RX-700","Plant South Bay","2024-04-27T14:43:06","maintenance_event","","","","","","predictive","Adjusted grip calibration based on predictive wear.","40","jbrown","2024-04-27T15:23:18","resolved","355","Grip tension abnormality detected."
"INC-5B2C9D4F","MAC-29F3E0B7","Hydraulic Press HP-350","Plant Eastfield","2024-04-28T08:36:11","machine_failure","F125","Abnormal noise detected during press cycle.","","","","","","17","cwright","2024-04-28T08:53:09","resolved","250","Loose mounting bolts."
"INC-3A6F8E1C","MAC-64E1B2F8","Automated Welder ZX-55","Plant Eastfield","2024-04-29T16:17:45","sensor_anomaly","S390","Voltage sensor reported low supply event.","SNS-00087266","VoltageSensor","198.8","","","9","system_alert","2024-04-29T16:28:13","closed","65","Power fluctuation at source."
"INC-1D7E4B2F","MAC-10B4C8D2","CNC Lathe Model X21","Plant South Bay","2024-04-30T12:02:28","maintenance_event","","","","","","corrective","Replaced broken tool magazine spring.","63","mgarcia","2024-04-30T13:05:12","resolved","480","Spring fatigue failure."
"INC-2E5A8B3C","MAC-22D9A7E3","Robotic Arm RX-700","Plant South Bay","2024-05-01T09:47:54","machine_failure","F112","Unexpected halt during programmed movement.","","","","","","29","jclark","2024-05-01T10:17:28","resolved","320","Software glitch in controller."
"INC-6E2B1D7C","MAC-29F3E0B7","Hydraulic Press HP-350","Plant Eastfield","2024-05-02T07:16:35","sensor_anomaly","S267","Flow sensor reading below expected minimum.","SNS-00094210","FlowSensor","0.19","","","4","system_alert","2024-05-02T07:20:44","closed","17","Partial obstruction in fluid line."
"INC-9A5C3B1E","MAC-64E1B2F8","Automated Welder ZX-55","Plant Eastfield","2024-05-03T15:32:21","maintenance_event","","","","","","preventive","Checked cable insulation, replaced worn connectors.","23","jbrown","2024-05-03T15:58:14","resolved","140","Routine cable check."
"INC-8F1B2C7A","MAC-10B4C8D2","CNC Lathe Model X21","Plant South Bay","2024-05-04T08:43:55","machine_failure","F119","Unexpected stop due to emergency limit trigger.","","","","","","27","system_alert","2024-05-04T09:10:21","resolved","225","Limit switch false trigger."
"INC-7B2D8E1C","MAC-22D9A7E3","Robotic Arm RX-700","Plant South Bay","2024-05-05T11:57:30","sensor_anomaly","S230","Force sensor exceeded tolerance during operation.","SNS-00018422","ForceSensor","18.41","","","13","system_alert","2024-05-05T12:10:02","closed","77","Temporary force spike."
"INC-5C8B2F9A","MAC-29F3E0B7","Hydraulic Press HP-350","Plant Eastfield","2024-05-06T07:42:33","maintenance_event","","","","","","corrective","Replaced bent piston rod.","79","mgarcia","2024-05-06T09:01:44","resolved","1240","Impact damage to piston."
"INC-3E1B9A7F","MAC-64E1B2F8","Automated Welder ZX-55","Plant Eastfield","2024-05-07T13:33:18","machine_failure","F122","Torch ignition failed, system error.","","","","","","21","jclark","2024-05-07T13:54:02","resolved","375","Faulty ignition circuit."
"INC-6C2B8F3A","MAC-22D9A7E3","Robotic Arm RX-700","Plant South Bay","2024-05-08T09:15:43","sensor_anomaly","S213","Temperature sensor reported rapid drop.","SNS-00012845","TempSensor","14.2","","","10","system_alert","2024-05-08T09:25:12","closed","43","Ambient air flow change."
"INC-1D5A7C9B","MAC-29F3E0B7","Hydraulic Press HP-350","Plant Eastfield","2024-05-09T08:01:34","maintenance_event","","","","","","preventive","Inspected piston and replaced minor seals.","19","jbrown","2024-05-09T08:20:07","resolved","99","Routine seal maintenance."
"INC-2E7A1D8C","MAC-64E1B2F8","Automated Welder ZX-55","Plant Eastfield","2024-05-10T17:20:56","machine_failure","F137","Gas flow error during cycle.","","","","","","25","cwright","2024-05-10T17:45:12","resolved","410","Gas supply regulator jam."
"INC-8A1B2D7C","MAC-22D9A7E3","Robotic Arm RX-700","Plant South Bay","2024-05-11T13:45:18","sensor_anomaly","S240","Humidity sensor reading below tolerance.","SNS-00022194","HumiditySensor","29.8","","","6","system_alert","2024-05-11T13:51:44","closed","24","Sensor calibration drift."
"INC-5B7C2D8E","MAC-29F3E0B7","Hydraulic Press HP-350","Plant Eastfield","2024-05-12T07:09:43","maintenance_event","","","","","","corrective","Replaced hydraulic hose.","15","mgarcia","2024-05-12T07:24:41","resolved","105","Leak detected in hose."
"INC-7A6C1B3F","MAC-64E1B2F8","Automated Welder ZX-55","Plant Eastfield","2024-05-13T15:39:18","machine_failure","F118","Weld seam misalignment detected.","","","","","","33","jclark","2024-05-13T16:12:21","resolved","312","Guide rail misalignment."
"INC-1C3B4E7A","MAC-22D9A7E3","Robotic Arm RX-700","Plant South Bay","2024-05-14T09:26:33","sensor_anomaly","S228","Current sensor reported low value.","SNS-00026734","CurrentSensor","3.62","","","11","system_alert","2024-05-14T09:37:10","closed","46","Loose terminal connection."
"INC-6C1B5A7E","MAC-29F3E0B7","Hydraulic Press HP-350","Plant Eastfield","2024-05-15T08:32:09","maintenance_event","","","","","","preventive","Checked and lubricated guide rails.","27","jbrown","2024-05-15T08:59:05","resolved","90","Routine lubrication."
"INC-3E2B5C9A","MAC-64E1B2F8","Automated Welder ZX-55","Plant Eastfield","2024-05-16T16:23:42","machine_failure","F127","Overcurrent detected in power supply.","","","","","","36","cwright","2024-05-16T17:01:11","resolved","410","Power supply component failure."
"INC92104","MCN80021","Hydraulic Press Model C","Plant Delta","2024-06-04T15:31:00","machine_failure","F318","Unexpected hydraulic leak detected near main actuator assembly.","","","","","","235","jmartinez","2024-06-04T17:51:00","resolved","12750.5","Worn-out hydraulic seal caused system pressure loss."
"INC92105","MCN80022","Robotic Arm Model X","Plant Echo","2024-06-06T08:22:00","sensor_anomaly","","Temperature sensor reported out-of-range value during operation.","SNSR10021Z","TempSensor","98.7","","","15","automated_system_03","2024-06-06T08:47:00","resolved","320","Temporary sensor malfunction due to condensation."
"INC92106","MCN80023","CNC Lathe Series 4","Plant Beta","2024-06-08T11:13:00","maintenance_event","","","","","","corrective","Replaced worn spindle motor brushes and recalibrated.","70","sliu","2024-06-08T12:35:00","closed","2100.8","Motor brush wear exceeded recommended limit."
"INC92107","MCN80021","Hydraulic Press Model C","Plant Delta","2024-06-09T14:45:00","sensor_anomaly","","Pressure sensor flagged abnormal spike during mold closure.","SNSR10022A","PressureSensor","3450.3","","","22","automated_system_02","2024-06-09T15:07:00","resolved","605.5","Brief blockage in hydraulic fluid return line."
"INC92108","MCN80024","Packaging Line Model Q","Plant Echo","2024-06-10T09:20:00","maintenance_event","","","","","","preventive","Lubricated conveyor bearings and checked alignment.","35","amiller","2024-06-10T09:55:00","closed","700","Scheduled preventive maintenance as per policy."
"INC92109","MCN80025","Laser Cutter Model L","Plant Gamma","2024-06-11T12:02:00","machine_failure","F325","Laser misalignment detected; output below threshold.","","","","","","180","dpatel","2024-06-11T15:02:00","resolved","5400.7","Vibration led to gradual laser head misalignment."
"INC92110","MCN80026","Robotic Arm Model X","Plant Alpha","2024-06-12T16:44:00","maintenance_event","","","","","","predictive","Predictive replacement of wrist servo due to anomaly logs.","45","knguyen","2024-06-12T17:29:00","closed","1800","Servo lifetime prediction flagged risk of imminent failure."
